index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
78,Boulware,0.5978694953273306,0.3988656738949788,0.33104717662984495,0.3098902455049158,0.4538798704161232,S7,Linear,0.04774950025603175,ne2mQ31qj,False,False,False,,-5381024024994837024,0.8730917892904629,0.936383835521732,0.8786144962233589,1.0
79,Linear,0.3098902455049158,0.23123335809650097,0.10231568738942287,0.5978694953273306,0.4538798704161232,S7,Boulware,0.05042179860174656,ni2vE8jSr,False,False,False,,-5381024024994837024,0.8730917892904629,0.936383835521732,0.8786144962233589,1.0
80,Linear,0.4432534083232418,0.4231578900209886,0.03483712085961336,0.47497939145892737,0.45911639989108455,S4,Linear,0.1300435015000403,nJGJKBYcp,False,False,False,,1230227908831381108,0.9880643258511346,0.9880643258511346,0.980499707559028,0.9917104313195438
81,Linear,0.47497939145892737,0.441290978200903,0.06029688432369395,0.4432534083232418,0.45911639989108455,S4,Linear,0.13415439799427986,nuL5zeo5k,False,False,False,,1230227908831381108,0.9880643258511346,0.9880643258511346,0.980499707559028,0.9917104313195438
82,Group14,0.5093106949715319,0.39047136220795425,0.19496923589031162,0.4906893050284681,0.5,DivideThePie3,RVFitter,2.8151407992700115,nDIGJs42h,False,False,False,,7254667454580782952,0.8400597228471359,0.8400597228471359,1.0,1.0
83,RVFitter,0.4906893050284681,0.051476231046262415,0.46304909624634555,0.5093106949715319,0.5,DivideThePie3,Group14,0.08195620193146169,nIPPW84nO,False,False,False,,7254667454580782952,0.8400597228471359,0.8400597228471359,1.0,1.0
84,Linear,0.32447809778802095,0.05153342826858424,0.28777468563934633,0.8037095694041098,0.5640938335960654,S0,RVFitter,0.20609460049308836,nonhpeWra,False,False,False,,-8009308316975339930,0.9346827954601065,0.9005801002448178,0.9941822026897881,1.0
85,RVFitter,0.8037095694041098,0.33527510862538024,0.7047042571401668,0.32447809778802095,0.5640938335960654,S0,Linear,9.07232750148978,nOXik4xT4,False,False,False,,-8009308316975339930,0.9346827954601065,0.9005801002448178,0.9941822026897881,1.0
86,Linear,0.49782206372973875,0.3988656738949788,0.1646161024873362,0.5084244429533278,0.5031232533415333,S7,NashSeeker,0.07466400100383908,nhAP0pQS3,False,False,False,,183874878645318834,0.9697056087499005,0.9064135625186315,0.9739391688986998,1.0
87,NashSeeker,0.5084244429533278,0.23123335809650097,0.36056596338583297,0.49782206372973875,0.5031232533415333,S7,Linear,0.04764509876258671,nBpW8nsqz,False,False,False,,183874878645318834,0.9697056087499005,0.9064135625186315,0.9739391688986998,1.0
88,Linear,0.39047136220795425,0.39047136220795425,0.0,0.051476231046262415,0.22097379662710834,DivideThePie3,MiCRO,0.10171980073209852,nd9A27xQ1,False,False,False,,4735931665458606844,0.7209736876618568,0.7209736876618568,0.4419475932542167,0.7209736876618568
89,MiCRO,0.051476231046262415,0.051476231046262415,0.0,0.39047136220795425,0.22097379662710834,DivideThePie3,Linear,0.04607890057377517,nHlQ87MYn,False,False,False,,4735931665458606844,0.7209736876618568,0.7209736876618568,0.4419475932542167,0.7209736876618568
90,Conceder,0.1689682515084674,0.05153342826858424,0.12381545827757232,0.9084863373662633,0.5387272944373653,S0,Boulware,0.10661750112194568,ngzblwvT2,False,False,False,,-7883984019587336163,0.8039267177959978,0.7703731418032361,0.9494751694385226,1.0
91,Boulware,0.9084863373662633,0.33527510862538024,0.8623285154186257,0.1689682515084674,0.5387272944373653,S0,Conceder,0.11224959965329617,nKi2V477o,False,False,False,,-7883984019587336163,0.8039267177959978,0.7703731418032361,0.9494751694385226,1.0
92,NashSeeker,0.3742466080357052,0.0010745031479135155,0.37478460774387534,0.6727928670070107,0.5235197375213579,DivideThePies8,NashSeeker,0.0508906003087759,nw3hrCUzN,False,False,False,,742850432894136619,0.9729175308286345,0.9876672628923925,0.9943102409989714,1.0
93,NashSeeker,0.6727928670070107,0.2836287679018489,0.5435420421110045,0.3742466080357052,0.5235197375213579,DivideThePies8,NashSeeker,0.027817599941045046,nLJVmtPNc,False,False,False,,742850432894136619,0.9729175308286345,0.9876672628923925,0.9943102409989714,1.0
94,NashSeeker,0.4747691875065078,0.0010745031479135155,0.4757415523356891,0.5774401964367897,0.5261046919716488,DivideThePies8,NashSeeker,0.08931150007992983,n37UYTlkP,False,False,False,,3605740131221726876,0.9254915998556267,0.9108578735259869,0.9992197916772496,1.0
95,NashSeeker,0.5774401964367897,0.2836287679018489,0.4103638136936126,0.4747691875065078,0.5261046919716488,DivideThePies8,NashSeeker,0.03555249993223697,nott4pkbe,False,False,False,,3605740131221726876,0.9254915998556267,0.9108578735259869,0.9992197916772496,1.0
96,RVFitter,0.24608804502444664,0.24608804502444664,0.0,0.16169909259833515,0.2038935688113909,S1,MiCRO,4.626639299793169,nLw7GVac9,False,False,False,,858395078259943373,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
97,MiCRO,0.16169909259833515,0.16169909259833515,0.0,0.24608804502444664,0.2038935688113909,S1,RVFitter,0.0631872983649373,nYHpnZPQK,False,False,False,,858395078259943373,0.7042982515651369,0.7042982515651369,0.40613293505949855,0.7043003788841224
98,NashSeeker,0.3044190962160259,0.08748260015232343,0.23773409263200349,0.6903961839697248,0.49740764009287536,S6,Conceder,0.02915100008249283,n7IUhJvUb,False,False,False,,1853021010493926860,0.8747886245591916,0.7749579185218888,0.9209073915547127,1.0
99,Conceder,0.6903961839697248,0.05073732679259073,0.6738481088862658,0.3044190962160259,0.49740764009287536,S6,NashSeeker,0.03986060025636107,nxatGp3Ia,False,False,False,,1853021010493926860,0.8747886245591916,0.7749579185218888,0.9209073915547127,1.0
100,Group14,0.32358519754428233,0.32358519754428233,0.0,0.4016455136682362,0.36261535560625924,S9,MiCRO,1.2661665007472038,nx7669nRq,False,False,False,,4753244705577863676,0.6451182243751973,0.6759486133543112,0.4841151775746446,0.6878395983590788
101,MiCRO,0.4016455136682362,0.4016455136682362,0.0,0.32358519754428233,0.36261535560625924,S9,Group14,0.016738699050620198,nM79gZYSd,False,False,False,,4753244705577863676,0.6451182243751973,0.6759486133543112,0.4841151775746446,0.6878395983590788
102,Boulware,0.4747691875065078,0.0010745031479135155,0.4757415523356891,0.5774401964367897,0.5261046919716488,DivideThePies8,NashSeeker,0.02528070076368749,nzIPAsb4J,False,False,False,,2019868136681645187,0.9254915998556267,0.9108578735259869,0.9992197916772496,1.0
103,NashSeeker,0.5774401964367897,0.2836287679018489,0.4103638136936126,0.4747691875065078,0.5261046919716488,DivideThePies8,Boulware,0.045097200432792306,n2vM1awy6,False,False,False,,2019868136681645187,0.9254915998556267,0.9108578735259869,0.9992197916772496,1.0
104,RVFitter,0.2356539826762391,0.08748260015232343,0.16237650103839052,0.8065256322059303,0.5210898074410847,S6,RVFitter,47.712858586455695,nCEgKmAkk,False,False,False,,-3395972049841800119,0.7793680313695182,0.6795266003489824,0.9647528840665074,0.9977111214511393
105,RVFitter,0.8065256322059303,0.05073732679259073,0.7961845827769144,0.2356539826762391,0.5210898074410847,S6,RVFitter,49.74351569486316,nzREcGPlv,False,False,False,,-3395972049841800119,0.7793680313695182,0.6795266003489824,0.9647528840665074,0.9977111214511393
106,RVFitter,0.4236295861808481,0.4231578900209886,0.0008177214383268565,0.5096092328300064,0.46661940950542724,S4,NashSeeker,0.1331361000193283,ndW73A83x,False,False,False,,-4552699999877503802,0.9644210372816425,0.9644210372816425,0.9965233101452584,1.0
107,NashSeeker,0.5096092328300064,0.441290978200903,0.12227877475311205,0.4236295861808481,0.46661940950542724,S4,RVFitter,0.012294400134123862,ntsQXgVAf,False,False,False,,-4552699999877503802,0.9644210372816425,0.9644210372816425,0.9965233101452584,1.0
